starting new log
CHALLENGE_5pCTUQShuXvScN3fKg6kMZTiWDQi3P.png, False, (140, -140), 4cx42x, 0x8ex4cx42x, CHALLENGE_5pCTUQShuXvScN3fKg6kMZTiWDQi3P_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.08100008965, 4.78799986839
CHALLENGE_39QvTXTrczHt98MlLLe0TFt5UoD4Kp.png, True, (110, -180), 3ex2qx, 0x8ex3ex2qx, CHALLENGE_39QvTXTrczHt98MlLLe0TFt5UoD4Kp_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.9509999752, 4.43799996376
CHALLENGE_ehETiHT9yKMkRdkvLo72v2Ar1yuD8y.png, False, (150, -140), 4mx42x, 0x8ex4mx42x, CHALLENGE_ehETiHT9yKMkRdkvLo72v2Ar1yuD8y_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.27100014687, 4.53199982643
CHALLENGE_25Sa8Cop6CcMTdPTFkDbtTstyommhv.png, True, (50, -240), 1ixux, 0x8ex1ixux, CHALLENGE_25Sa8Cop6CcMTdPTFkDbtTstyommhv_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.91500020027, 4.63599991798
CHALLENGE_fkdAtOQrPluOp8KIslKTDRTuu3l8Id.png, False, (110, -180), 3ex2qx, 0x8ex3ex2qx, CHALLENGE_fkdAtOQrPluOp8KIslKTDRTuu3l8Id_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.14599990845, 4.55100011826
CHALLENGE_26mUspGruFs1k7I1xQcdGpmKWpriMr.png, True, (80, -210), 2gx1sx, 0x8ex2gx1sx, CHALLENGE_26mUspGruFs1k7I1xQcdGpmKWpriMr_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.09899997711, 4.69099998474
CHALLENGE_g7MNbbkh67KNHpfxxdQJG5S13TXCso.png, False, (130, -180), 42x2qx, 0x8ex42x2qx, CHALLENGE_g7MNbbkh67KNHpfxxdQJG5S13TXCso_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.58999991417, 5.48900008202
CHALLENGE_W7lo7oTgTAuErRP6zcTqPgecHWIhkF.png, True, (-10, -220), -ax1ix, 0x8ex-ax1ix, CHALLENGE_W7lo7oTgTAuErRP6zcTqPgecHWIhkF_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.5720000267, 4.64399981499
CHALLENGE_6Ax6MB7G6Nr1DOt0Nk7mg9H70tee3y.png, False, (120, -170), 3ox34x, 0x8ex3ox34x, CHALLENGE_6Ax6MB7G6Nr1DOt0Nk7mg9H70tee3y_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.08699989319, 4.48000001907
CHALLENGE_tt4rAGsbt96T79pTtAzh7n52O6UQhA.png, False, (50, -170), 1ix34x, 0x8ex1ix34x, CHALLENGE_tt4rAGsbt96T79pTtAzh7n52O6UQhA_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.83500003815, 3.83699989319
CHALLENGE_D8TtcDJ5xzCM8Rv2TCTt6O3ZZ32Hrw.png, False, (210, -230), 6ix18x, 0x8ex6ix18x, CHALLENGE_D8TtcDJ5xzCM8Rv2TCTt6O3ZZ32Hrw_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.96299982071, 3.71800017357
